Ward,WardCode,Income,NumTaxPayers,AnnualAveIncome,SumoAveRent,AnnualAveRent
千代田区,1,352817080000 ,36502 ,9665692 ,104000 ,1248000 
中央区,2,763223799000 ,93963 ,8122599 ,98000 ,1176000 
港区,3,1450234222000 ,130273 ,11132270 ,110000 ,1320000 
新宿区,4,1091836797000 ,166386 ,6562071 ,95000 ,1140000 
文京区,5,853723801000 ,114302 ,7469019 ,87000 ,1044000 
台東区,6,588565732000 ,104744 ,5619088 ,94000 ,1128000 
墨田区,7,745482486000 ,141924 ,5252688 ,87000 ,1044000 
江東区,8,1542137050000 ,259110 ,5951669 ,90000 ,1080000 
品川区,9,1344202885000 ,212581 ,6323250 ,88000 ,1056000 
目黒区,10,1037229038000 ,141705 ,7319636 ,97000 ,1164000 
大田区,11,1997504537000 ,368222 ,5424729 ,79000 ,948000 
世田谷区,12,2934911438000 ,439532 ,6677356 ,85000 ,1020000 
渋谷区,13,1005786391000 ,117866 ,8533304 ,102000 ,1224000 
中野区,14,921567267000 ,170235 ,5413501 ,83000 ,996000 
杉並区,15,1655285248000 ,283230 ,5844315 ,79000 ,948000 
豊島区,16,817061071000 ,143487 ,5694321 ,83000 ,996000 
北区,17,868029574000 ,168659 ,5146654 ,80000 ,960000 
荒川区,18,514856597000 ,101445 ,5075229 ,80000 ,960000 
板橋区,19,1321889607000 ,268880 ,4916281 ,75000 ,900000 
練馬区,20,1817087738000 ,340135 ,5342255 ,73000 ,876000 
足立区,21,1425648186000 ,307066 ,4642807 ,71000 ,852000 
葛飾区,22,984971327000 ,208714 ,4719239 ,71000 ,852000
江戸川区,23,1557620997000 ,317926 ,4899319 ,70000 ,840000 